dbo_ecnDatapointType.Address;DataPointTypeId;Id;CompanyId;EnumType;Name;dbo_ecnEventType.Address;Conversion;Description;Priority;Filtercriterion;Reportingcriterion;Type;URL;DefaultValue;ObjectId
VBC700_AW;266;1;24;-1;ecnStatusEventType;ecnStatusEventType;NoConversion;;50;-1;-1;1;;;-1
VBC700_AW;266;2;24;0;@@viessmann.eventtype.name.Absenkzeit_gelerntA1M1;Absenkzeit_gelerntA1M1~0x253D;NoConversion;@@viessmann.eventtype.Absenkzeit_gelerntA1M1.description;100;-1;-1;3;;;-1
VBC700_AW;266;989;24;-1;@@viessmann.eventtype.name.K79_KonfiFehlerManagerV100_V050_D;K79_KonfiFehlerManagerV100_V050_D~0x7779;NoConversion;@@viessmann.eventtype.K79_KonfiFehlerManagerV100_V050_D.description;50;-1;-1;1;;0;-1
VBC700_AW;266;1044;24;0;@@viessmann.eventtype.name.K98_KonfiVI_Anlagennummer_D;K98_KonfiVI_Anlagennummer_D~0x7798;NoConversion;@@viessmann.eventtype.K98_KonfiVI_Anlagennummer_D.description;100;-1;-1;1;;1;-1
VBC700_AW;266;6387;24;0;@@viessmann.eventtype.name.WPR_HK2_max_Ueberhoehung_TRaum;WPR_HK2_max_Ueberhoehung_TRaum~0x3012;Div10;@@viessmann.eventtype.WPR_HK2_max_Ueberhoehung_TRaum.description;100;-1;-1;3;;5;-1
VBC700_AW;266;6388;24;0;@@viessmann.eventtype.name.WPR_HK2_max_Vorlaufkorrekturen;WPR_HK2_max_Vorlaufkorrekturen~0x300D;Div10;@@viessmann.eventtype.WPR_HK2_max_Vorlaufkorrekturen.description;100;-1;-1;3;;100;-1
VBC700_AW;266;6389;24;0;@@viessmann.eventtype.name.WPR_HK2_max_Vorlauftemperatur_HK;WPR_HK2_max_Vorlauftemperatur_HK~0x300E;Div10;@@viessmann.eventtype.WPR_HK2_max_Vorlauftemperatur_HK.description;100;-1;-1;3;;40;-1
VBC700_AW;266;6390;24;0;@@viessmann.eventtype.name.WPR_HK2_min_Vorlauftemperatur_HK;WPR_HK2_min_Vorlauftemperatur_HK~0x300F;Div10;@@viessmann.eventtype.WPR_HK2_min_Vorlauftemperatur_HK.description;100;-1;-1;3;;10;-1
VBC700_AW;266;6393;24;0;@@viessmann.eventtype.name.WPR_HK2_Neigung_Heizkennlinie;WPR_HK2_Neigung_Heizkennlinie~0x3007;Div10;@@viessmann.eventtype.WPR_HK2_Neigung_Heizkennlinie.description;100;-1;-1;3;;0,6;-1
VBC700_AW;266;6395;24;0;@@viessmann.eventtype.name.WPR_HK2_Neigung_Raumaufschaltung;WPR_HK2_Neigung_Raumaufschaltung~0x300A;Div10;@@viessmann.eventtype.WPR_HK2_Neigung_Raumaufschaltung.description;100;-1;-1;3;;1;-1
VBC700_AW;266;6396;24;0;@@viessmann.eventtype.name.WPR_HK2_Niveau_Heizkennlinie;WPR_HK2_Niveau_Heizkennlinie~0x3006;Div10;@@viessmann.eventtype.WPR_HK2_Niveau_Heizkennlinie.description;100;-1;-1;3;;0;-1
VBC700_AW;266;6397;24;0;@@viessmann.eventtype.name.WPR_HK2_Niveau_HKMischer;WPR_HK2_Niveau_HKMischer~0x3014;Div10;@@viessmann.eventtype.WPR_HK2_Niveau_HKMischer.description;100;-1;-1;3;;2;-1
VBC700_AW;266;6399;24;0;@@viessmann.eventtype.name.WPR_HK2_Normaltemperatur;WPR_HK2_Normaltemperatur~0x3000;Div10;@@viessmann.eventtype.WPR_HK2_Normaltemperatur.description;100;-1;-1;3;;20;-1
VBC700_AW;266;6400;24;-1;@@viessmann.eventtype.name.WPR_HK2_Raumregelung;WPR_HK2_Raumregelung~0x3005;NoConversion;@@viessmann.eventtype.WPR_HK2_Raumregelung.description;50;-1;-1;3;;0;-1
VBC700_AW;266;6401;24;-1;@@viessmann.eventtype.name.WPR_HK2_Raumtemperaturaufschaltung;WPR_HK2_Raumtemperaturaufschaltung~0x300B;NoConversion;@@viessmann.eventtype.WPR_HK2_Raumtemperaturaufschaltung.description;50;-1;-1;3;;3;-1
VBC700_AW;266;6402;24;-1;@@viessmann.eventtype.name.WPR_HK2_Raumtemperatursensor;WPR_HK2_Raumtemperatursensor~0x3008;NoConversion;@@viessmann.eventtype.WPR_HK2_Raumtemperatursensor.description;50;-1;-1;3;;0;-1
VBC700_AW;266;6403;24;0;@@viessmann.eventtype.name.WPR_HK2_Redtemperatur;WPR_HK2_Redtemperatur~0x3001;Div10;@@viessmann.eventtype.WPR_HK2_Redtemperatur.description;100;-1;-1;3;;14;-1
VBC700_AW;266;6404;24;0;@@viessmann.eventtype.name.WPR_HK2_Tastband_HKMischer;WPR_HK2_Tastband_HKMischer~0x3018;Div10;@@viessmann.eventtype.WPR_HK2_Tastband_HKMischer.description;100;-1;-1;3;;4;-1
VBC700_AW;266;6405;24;0;@@viessmann.eventtype.name.WPR_HK2_Tastband_NCMischer;WPR_HK2_Tastband_NCMischer~0x301F;NoConversion;@@viessmann.eventtype.WPR_HK2_Tastband_NCMischer.description;100;-1;-1;3;;40;-1
VBC700_AW;266;6406;24;0;@@viessmann.eventtype.name.WPR_HK2_Totband_HKMischer;WPR_HK2_Totband_HKMischer~0x3019;Div10;@@viessmann.eventtype.WPR_HK2_Totband_HKMischer.description;100;-1;-1;3;;1;-1
VBC700_AW;266;6407;24;0;@@viessmann.eventtype.name.WPR_HK2_Totband_NCMischer;WPR_HK2_Totband_NCMischer~0x3020;NoConversion;@@viessmann.eventtype.WPR_HK2_Totband_NCMischer.description;100;-1;-1;3;;10;-1
VBC700_AW;266;6408;24;-1;@@viessmann.eventtype.name.WPR_HK2_WTimer_HK;WPR_HK2_WTimer_HK~0x3002;NoConversion;@@viessmann.eventtype.WPR_HK2_WTimer_HK.description;50;-1;-1;3;;2;-1
VBC700_AW;266;6409;24;-1;@@viessmann.eventtype.name.WPR_HK2_WWbeiParty;WPR_HK2_WWbeiParty~0x3010;NoConversion;@@viessmann.eventtype.WPR_HK2_WWbeiParty.description;50;-1;-1;3;;1;-1
VBC700_AW;266;6410;24;-1;@@viessmann.eventtype.name.WPR_HK3_Betriebsart_Heizkreis;WPR_HK3_Betriebsart_Heizkreis~0x4004;NoConversion;@@viessmann.eventtype.WPR_HK3_Betriebsart_Heizkreis.description;50;-1;-1;3;;6;-1
VBC700_AW;266;6411;24;-1;@@viessmann.eventtype.name.WPR_HK3_Einschaltoptimierung;WPR_HK3_Einschaltoptimierung~0x400C;NoConversion;@@viessmann.eventtype.WPR_HK3_Einschaltoptimierung.description;50;-1;-1;3;;0;-1
VBC700_AW;266;6412;24;-1;@@viessmann.eventtype.name.WPR_HK3_Fernbedienung;WPR_HK3_Fernbedienung~0x4003;NoConversion;@@viessmann.eventtype.WPR_HK3_Fernbedienung.description;50;-1;-1;3;;0;-1
VBC700_AW;266;6413;24;-1;@@viessmann.eventtype.name.WPR_HK3_heizkreis_reaktion_force;WPR_HK3_heizkreis_reaktion_force~0x4011;NoConversion;@@viessmann.eventtype.WPR_HK3_heizkreis_reaktion_force.description;50;-1;-1;3;;2;-1
