dbo_ecnDatapointType.Address;DataPointTypeId;Id;CompanyId;EnumType;Name;dbo_ecnEventType.Address;Conversion;Description;Priority;Filtercriterion;Reportingcriterion;Type;URL;DefaultValue;ObjectId
Vitocom200_LAN_GP;351;1;24;-1;ecnStatusEventType;ecnStatusEventType;NoConversion;;50;-1;-1;1;;;-1
Vitocom200_LAN_GP;351;5399;24;0;@@viessmann.eventtype.name.vcLanAnlagennummer;vcLanAnlagennummer~0x7776;NoConversion;@@viessmann.eventtype.vcLanAnlagennummer.description;100;-1;-1;3;;1;-1
Vitocom200_LAN_GP;351;4416;24;0;@@viessmann.eventtype.name.RPCLesenFehlerhistorie;RPCLesenFehlerhistorie~0xA022;NoConversion;@@viessmann.eventtype.RPCLesenFehlerhistorie.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;4417;24;0;@@viessmann.eventtype.name.RPCLesenFehlertabelle;RPCLesenFehlertabelle~0xA020;NoConversion;@@viessmann.eventtype.RPCLesenFehlertabelle.description;100;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;5424;24;0;@@viessmann.eventtype.name.vcLanGeraetekennung;vcLanGeraetekennung~0x00F8;NoConversion;@@viessmann.eventtype.vcLanGeraetekennung.description;100;-1;-1;1;;;-1
Vitocom200_LAN_GP;351;5469;24;-1;@@viessmann.eventtype.name.vcLanModemTyp;vcLanModemTyp~0xAE00;NoConversion;@@viessmann.eventtype.vcLanModemTyp.description;50;-1;-1;1;;;-1
Vitocom200_LAN_GP;351;5488;24;0;@@viessmann.eventtype.name.vcLanTeilnehmernummer;vcLanTeilnehmernummer~0x7777;NoConversion;@@viessmann.eventtype.vcLanTeilnehmernummer.description;100;-1;-1;3;;99;-1
Vitocom200_LAN_GP;351;5515;24;0;@@viessmann.eventtype.name.VersionVitocom;VersionVitocom~0x00F8;HexByte2Version;@@viessmann.eventtype.VersionVitocom.description;100;-1;-1;1;;;-1
Vitocom200_LAN_GP;351;5519;24;0;@@viessmann.eventtype.name.Vitocom_Kennung;Vitocom_Kennung~0x00F8;NoConversion;@@viessmann.eventtype.Vitocom_Kennung.description;100;-1;-1;1;;;-1
Vitocom200_LAN_GP;351;5690;24;-1;@@viessmann.eventtype.name.vlogRPCConfigDigitalOutputGM_01;vlogRPCConfigDigitalOutputGM_01~0xA08D;NoConversion;@@viessmann.eventtype.vlogRPCConfigDigitalOutputGM_01.description;50;-1;-1;3;;;-1
Vitocom200_LAN_GP;351;5869;24;-1;@@viessmann.eventtype.name.vlogRPCReadDigitalInputGM_01;vlogRPCReadDigitalInputGM_01~0xA06A;NoConversion;@@viessmann.eventtype.vlogRPCReadDigitalInputGM_01.description;50;-1;-1;3;~/Service/VComIODEDisplayDefinitionConfiguration.aspx;;-1
Vitocom200_LAN_GP;351;5870;24;-1;@@viessmann.eventtype.name.vlogRPCReadDigitalInputGM_02;vlogRPCReadDigitalInputGM_02~0xA06A;NoConversion;@@viessmann.eventtype.vlogRPCReadDigitalInputGM_02.description;50;-1;-1;3;~/Service/VComIODEDisplayDefinitionConfiguration.aspx;;-1
Vitocom200_LAN_GP;351;5901;24;-1;@@viessmann.eventtype.name.vlogRPCSetDigitalOutputGM01;vlogRPCSetDigitalOutputGM01~0xA08C;NoConversion;@@viessmann.eventtype.vlogRPCSetDigitalOutputGM01.description;50;-1;-1;3;~/Service/VComIODADisplayDefinitionConfiguration.aspx;0;-1
Vitocom200_LAN_GP;351;7607;24;0;ecnsysEventType~VCOMError;ecnsysEventType~VCOMError;NoConversion;;100;-1;-1;1;;;-1
Vitocom200_LAN_GP;351;7608;24;0;ecnsysEventType~ErrorNotification;ecnsysEventType~ErrorNotification;NoConversion;;100;-1;-1;1;;;-1
