Id;Name;Parameter;Address;Type
1;ecnStatusEventType;;ecnStatusEventType;1
19;Eingang 0-10 V;;AE_Eingang0_10~0x0A86;1
20;ext. Anfordern/ Betriebsarten-umschaltung;;AE_Eingang1~0x0A80;1
21;ext. Sperren;;AE_Eingang2~0x0A81;1
39;Heizkreispumpe A1;;Ausgang_HKP_A1~0x7663;1
40;Heizkreispumpe M2;;Ausgang_HKP_M2~0x7665;1
50;Bauart Warmwasser;;BauartWarmwasser~0x8851;1
51;Warmwasser-Solltemperatur;;Bedien_WW_Solltemperatur~0x6300;3
73;Grundeinstellung Bedienparameter A1M1;;BedienparameterA1M1FunktionReset~0xA051;2
74;Grundeinstellung Bedienparameter M2;;BedienparameterM2FunktionReset~0xA051;2
76;Partybetrieb A1M1;;BedienPartybetriebA1M1~0x2303;1
77;Partybetrieb M2;;BedienPartybetriebM2~0x3303;1
79;Raumsolltemperatur Partybetrieb A1M1;;BedienRTSoll_PartyA1M1~0x2308;3
80;Raumsolltemperatur Partybetrieb M2;;BedienRTSoll_PartyM2~0x3308;3
82;Raumtemperatur Soll Normalbetrieb A1M1;;BedienRTSolltemperaturA1M1~0x2306;3
83;Raumtemperatur Soll Normalbetrieb M2;;BedienRTSolltemperaturM2~0x3306;3
85;Raumtemperatur Soll Reduzierter Betrieb A1M1;;BedienRTSolltemperaturReduziertA1M1~0x2307;3
86;Raumtemperatur Soll Reduzierter Betrieb M2;;BedienRTSolltemperaturReduziertM2~0x3307;3
88;Sparbetrieb A1M1;;BedienSparbetriebA1M1~0x2302;1
89;Sparbetrieb M2;;BedienSparbetriebM2~0x3302;1
91;Bedienteil Software-Index;;Bedienteil_SW_Index~0x7330;1
92;Betriebsart A1M1;;BedienteilBA_GWGA1~0x2323;3
94;Betriebsart M2;;BedienteilBA_GWGM2~0x3323;3
98;Betriebsstunden Brenner Stufe 1;;BetriebsstundenBrenner1~0x0886;1
104;Brenner-Betriebsstunden ;;BetriebsstundenBrennerBedienungGWG~0x08A7;1
106;Betriebsstunden Brenner zurücksetzen;;BetriebsstundenBrennerResetGWG~0x08A7;2
